ダウンロードした時刻：2019/09/03 13:09:18

,愛西,愛西,愛西
年月日,最低気温(℃),最低気温(℃),最低気温(℃)
,,,
,,品質情報,均質番号
2009/1/1,-0.7,8,1
2009/1/2,-1.2,8,1
2009/1/3,2.2,8,1
2009/1/4,-0.3,8,1
2009/1/5,-0.3,8,1
2009/1/6,3.1,8,1
2009/1/7,-0.5,8,1
2009/1/8,-1.1,8,1
2009/1/9,2.9,8,1
2009/1/10,0.4,8,1
2009/1/11,-1.0,8,1
2009/1/12,-1.6,8,1
2009/1/13,0.3,8,1
2009/1/14,-3.4,8,1
2009/1/15,-1.3,8,1
2009/1/16,-2.8,8,1
2009/1/17,-0.7,8,1
2009/1/18,-1.1,8,1
2009/1/19,1.5,8,1
2009/1/20,0.6,8,1
2009/1/21,-0.8,8,1
2009/1/22,2.1,8,1
2009/1/23,5.1,8,1
2009/1/24,-2.6,8,1
2009/1/25,-3.0,8,1
2009/1/26,-2.1,8,1
2009/1/27,-0.6,8,1
2009/1/28,-1.2,8,1
2009/1/29,0.7,8,1
2009/1/30,7.8,8,1
2009/1/31,7.3,8,1
2010/1/1,-1.5,8,1
2010/1/2,0.5,8,1
2010/1/3,0.1,8,1
2010/1/4,0.9,8,1
2010/1/5,2.6,8,1
2010/1/6,1.7,8,1
2010/1/7,-0.1,8,1
2010/1/8,0.3,8,1
2010/1/9,-1.7,8,1
2010/1/10,1.5,8,1
2010/1/11,0.4,8,1
2010/1/12,3.0,8,1
2010/1/13,-1.4,8,1
2010/1/14,-1.1,8,1
2010/1/15,-2.5,8,1
2010/1/16,-1.8,8,1
2010/1/17,-3.9,8,1
2010/1/18,-3.2,8,1
2010/1/19,1.5,8,1
2010/1/20,0.0,8,1
2010/1/21,3.6,8,1
2010/1/22,1.5,8,1
2010/1/23,3.0,8,1
2010/1/24,-0.4,8,1
2010/1/25,-1.5,8,1
2010/1/26,0.5,8,1
2010/1/27,-2.7,8,1
2010/1/28,3.3,8,1
2010/1/29,2.3,8,1
2010/1/30,0.9,8,1
2010/1/31,3.3,8,1
2011/1/1,-0.1,8,1
2011/1/2,0.5,8,1
2011/1/3,-2.0,8,1
2011/1/4,-1.5,8,1
2011/1/5,0.1,8,1
2011/1/6,-0.1,8,1
2011/1/7,-1.3,8,1
2011/1/8,-3.5,8,1
2011/1/9,-2.2,8,1
2011/1/10,-2.7,8,1
2011/1/11,-3.3,8,1
2011/1/12,-3.3,8,1
2011/1/13,-1.2,8,1
2011/1/14,-0.8,8,1
2011/1/15,-0.3,8,1
2011/1/16,-3.2,8,1
2011/1/17,-3.0,8,1
2011/1/18,-0.3,8,1
2011/1/19,-0.9,8,1
2011/1/20,-0.4,8,1
2011/1/21,0.2,8,1
2011/1/22,0.2,8,1
2011/1/23,1.1,8,1
2011/1/24,-1.9,8,1
2011/1/25,0.3,8,1
2011/1/26,-1.7,8,1
2011/1/27,-0.7,8,1
2011/1/28,-0.4,8,1
2011/1/29,-3.3,8,1
2011/1/30,-1.8,8,1
2011/1/31,-3.0,8,1
2012/1/1,-0.9,8,1
2012/1/2,1.1,8,1
2012/1/3,0.4,8,1
2012/1/4,-0.1,8,1
2012/1/5,-0.4,8,1
2012/1/6,0.0,8,1
2012/1/7,-0.1,8,1
2012/1/8,-2.0,8,1
2012/1/9,0.5,8,1
2012/1/10,-0.4,8,1
2012/1/11,1.1,8,1
2012/1/12,-1.7,8,1
2012/1/13,-0.7,8,1
2012/1/14,3.1,8,1
2012/1/15,2.0,8,1
2012/1/16,1.8,8,1
2012/1/17,0.4,8,1
